Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views,price,market_cap,volume
2024-09-28,BITCOIN,5885,1178,988,851831,0.774730747997791,0.76813552749236,0.6880951422414844,0.1767542482181818,0.190261692385399,0.2761672381120386,0.0485150034518266,0.0416027792758913,0.0357376148935246,65791.00212541742,1299708226182.0723,32664917503.931107
2024-09-28,DOGE,980,125,149,84724,0.7593031440265305,0.8154152805599999,0.848105448177801,0.0917066345928571,0.0464162559999999,0.0554839483746754,0.1489902134408163,0.138168459152,0.0964105743966526,0.1238227688843178,18086523907.564518,1555101302.394238
2024-09-28,ETH,1466,254,329,277538,0.8864405353410643,0.8637536991732283,0.8871609033591074,0.0272079034829467,0.0213085424094488,0.0243313130015457,0.0863515508294679,0.1149377527165354,0.0885077475195108,2698.1928212346033,324681649929.6723,16468123574.12263
2024-09-28,MAGA,2094,406,201,70942,0.837198783644699,0.8846984430738916,0.832267739629754,0.1231647084765998,0.0705200954211822,0.1282332183532322,0.0396365182779369,0.0447814728214285,0.0394990444333469,2.894954895262779,133280335.3790041,8253233.545238225
2024-09-28,NEAR,2163,324,225,149940,0.7514069645270459,0.7440096755864197,0.6073346908370215,0.1900177354891354,0.1723897793580247,0.2928773389223956,0.0585752927323162,0.0836005275617284,0.0997879626337268,5.461138322105037,6048318941.317708,466880326.5576625
2024-09-28,PEPE,8204,1007,600,254878,0.8958875590589955,0.9040524334756704,0.8748661646725885,0.027556067012311,0.0273226429215491,0.0347829159417878,0.0765563717902242,0.0686249211211519,0.0903509019775265,1.0693156678045403e-05,4497960529.060094,2417786124.113751
2024-09-28,SOLANA,2413,345,630,144704,0.8507062048114381,0.8711925848695652,0.802065369714106,0.0516200841176958,0.0376190805840579,0.0923506298275445,0.0976736528810609,0.0911882832057971,0.1055839540434127,157.79795876913818,73978003988.83308,3684393153.83145
2024-09-28,XRP,9150,2520,403,823552,0.7638955317841531,0.8487500757285714,0.8191611771555506,0.104267627964153,0.0565360175765873,0.0654999148862124,0.1318368392205464,0.0947139283440476,0.1153389162547695,0.5891149844820397,33329346797.44249,1401603759.7256885
2024-09-29,BITCOIN,3526,411,371,252003,0.5117904075011345,0.5550695481386861,0.4802986010509756,0.3992041514679523,0.3390232083759124,0.4115561339186915,0.089005458806296,0.105907263326034,0.1081452797330706,65934.10709441357,1303217687717.8518,15342911002.84781
2024-09-29,DOGE,3543,787,615,217005,0.7914263927307367,0.8128800362312579,0.8510477235734107,0.1052878542209991,0.091236090339263,0.0692463233576784,0.1032857716896697,0.0958838943583227,0.0797059700697956,0.1288364038238975,18825075499.748528,1706567906.7285783
2024-09-29,ETH,1225,180,216,134443,0.8351791427102042,0.8556716615555555,0.8677065788133859,0.0490654204228571,0.0388454470055555,0.0401343074279062,0.1157554158089796,0.1054828777833333,0.092159095284522,2680.218702062471,322761939149.4107,9607072594.439383
2024-09-29,MAGA,1174,308,126,45138,0.7421315858194208,0.7609088949155844,0.7703458671353183,0.1937583633279386,0.1779244606168831,0.1659971612436528,0.0641100427751277,0.0611666461525974,0.0636569641806681,2.655799500748081,122290530.35782449,8526854.494317817
2024-09-29,NEAR,1675,373,159,132948,0.6635776765761193,0.7782350628150135,0.6530710910672143,0.1784606936328358,0.1245674867077747,0.2277927401479525,0.1579616365158208,0.0971974478016085,0.1191361699387429,5.571134475059085,6166584507.550172,275939888.65182567
2024-09-29,PEPE,1351,241,161,116906,0.8575369217098444,0.8446620666390041,0.8698279117913538,0.0510729981095484,0.0734573568423236,0.0368341012398679,0.0913900824152479,0.0818805793526971,0.0933379981621388,1.1312447023185163e-05,4730914190.832232,2336318156.6468973
2024-09-29,SOLANA,780,148,166,46670,0.8453532687564103,0.8387932418243244,0.8321061004011141,0.0748944421673077,0.0863882908074324,0.0658268588036426,0.0797522946730769,0.0748184686013513,0.1020670489231626,156.9590627676465,73518555009.73824,1727901443.7016873
