Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views
2024-09-30,BITCOIN,2173,277,346,251666,0.7536764818352508,0.7220493422743682,0.641990074290218,0.06867590331155085,0.10995113260108304,0.10007534529882466,0.17764761944408652,0.16799952001444043,0.2579345869405919
2024-09-30,DOGE,4288,885,765,210006,0.8926569313092351,0.902831714497175,0.8797174032087606,0.030085097633045708,0.02834772898757062,0.03809770930133662,0.0772579198250933,0.06882048937514124,0.08218485711810614
2024-09-30,ETH,1349,204,224,113938,0.8761186999481095,0.8632838357352941,0.8954938140245572,0.06241836366530765,0.0722220268382353,0.047957143292009695,0.06146294143661972,0.06449413721078431,0.05654904630807983
2024-09-30,MAGA,1892,207,95,70356,0.8709513499312896,0.7641969522705313,0.858920645934675,0.05959429611363636,0.061173208140096615,0.05148919367272158,0.06945432626691331,0.17462981547826084,0.08959014217182615
2024-09-30,NEAR,1933,436,178,234066,0.5844958975866529,0.5987113075458717,0.609387645099177,0.3717255278468702,0.3582489489747706,0.3438503806073287,0.04377856870926022,0.0430397372912844,0.046761966428793586
2024-09-30,PEPE,1214,191,65,75966,0.8300419015947283,0.7779674587958115,0.8119769784915621,0.037822763341845145,0.033250965057591626,0.041262097197535735,0.13213535724958816,0.18878157613089003,0.1467609194948398
2024-09-30,SOLANA,1034,376,585,56292,0.8444483281740813,0.8604471906914893,0.8485698520137497,0.06166431805464217,0.057534648547872345,0.05645507099363143,0.09388737764168278,0.08201818987234044,0.09497508606821572
2024-09-30,XRP,1235,228,97,83301,0.585983930302834,0.5258598980701755,0.7233242668424269,0.11197678156153847,0.08480876779385964,0.10223004860891224,0.302039279454251,0.38933132352631583,0.1744456861226276
2024-10-01,BITCOIN,2402,420,330,178735,0.8393126784371356,0.802772401497619,0.7138755054024729,0.0484987616307244,0.06334858665595239,0.17027615015206032,0.11218854517651956,0.13387900339047618,0.11584834745745377
2024-10-01,DOGE,7728,1070,743,185566,0.8858171522295549,0.8758165067289718,0.8811390300354591,0.07032546076449274,0.07168940334813086,0.06497146341865695,0.04385741239311594,0.052494114344859816,0.0538895216608592
2024-10-01,ETH,874,142,155,70985,0.777908304229977,0.8001871880985916,0.7650309485519757,0.10854147336041188,0.09466390196478873,0.13737259391785592,0.11355021446224257,0.10514888720422536,0.0975964502573079
2024-10-01,MAGA,26209,3460,594,702836,0.9302694450047694,0.9299374513063583,0.9279243635433072,0.020165196260826437,0.020813964573410403,0.020974137653483885,0.04956535033808996,0.049248577610404624,0.05110149036036715
2024-10-01,NEAR,4918,853,240,167473,0.8677844050183002,0.8327048368745604,0.7384301555634819,0.08563490308601059,0.121418604024619,0.19907565281149203,0.046580700325335504,0.04587657478780773,0.062494194830760776
2024-10-01,PEPE,1107,152,76,86563,0.8356708544173441,0.8417637758552632,0.8342661864403613,0.05208614266214996,0.039227362940789476,0.042720012611092505,0.11224299376784104,0.11900885656578948,0.12301378577930523
2024-10-01,SOLANA,2202,870,377,155832,0.7684537203801088,0.8491950207218392,0.7393378723958943,0.0676919832555404,0.03205679005977011,0.07766755531366022,0.16385428645458675,0.11874818227471265,0.1829945605488026
2024-10-01,XRP,2856,546,228,200679,0.7655117365721289,0.727302486978022,0.7426023542605854,0.08523877977240897,0.07896802268406596,0.0700902914017984,0.1492494851495098,0.19372948683882785,0.1873073480725886
2024-10-02,BITCOIN,2092,394,272,215402,0.6710468015607074,0.6781877824086294,0.6774661558918348,0.1800600777554971,0.14881832422335023,0.17769370952677785,0.14889312941156785,0.17299390085786803,0.144840138440683
2024-10-02,DOGE,6497,1009,543,320306,0.8040310500560257,0.805690983022795,0.8086150699069922,0.015277116441357548,0.011981400022794846,0.013777251811344466,0.18069184294966917,0.18232762631516355,0.17760768745504926
2024-10-02,ETH,2356,391,246,229109,0.8737363776018674,0.8671366492838876,0.8961175822992112,0.053561155103989816,0.05354765304092071,0.05802314608381165,0.07270249865662139,0.07931573489514067,0.04585930115005521
2024-10-02,MAGA,2967,455,290,117689,0.8370690086686889,0.8386022981538462,0.8620730462674082,0.11174421765554432,0.11851861178241757,0.08647814638555855,0.05118677539197843,0.04287910932527474,0.05144880359107479
